FID,Shape *,Lakes_OBJE,FDate,GNIS_Name,Shape_Leng,Shape_Area,EWM,VLM,CLP,WC,Fan,SWF,BN,YFH,Inv,Durb,Road_Dens,X,Y,ele,Lakes_freq,ws_area,area_up,sf_dens,ewm_up,launch_num,edit,URB_ISO,Lakes1.public_acc,Lakes1.vlm_up,Rowid,LAKES_POINT *,X,Y,CLIMTMIN_4,CLIMTMIN_3,CLIMTMIN_2,CLIMTMIN_1,CLIMTMIN_12,CLIMTMIN_11,CLIMTMIN_10,CLIMTMEAN_4,CLIMTMEAN_3,CLIMTMEAN_2,CLIMTMEAN_1,CLIMTMEAN_12,CLIMTMEAN_11,CLIMTMEAN_10,CLIMTMAX_4,CLIMTMAX_3,CLIMTMAX_2,CLIMTMAX_1,CLIMTMAX_12,CLIMTMAX_11,CLIMTMAX_10,CLIMTMIN_9,CLIMTMIN_8,CLIMTMIN_7,CLIMTMIN_6,CLIMTMIN_5,CLIMTMEAN_9,CLIMTMEAN_8,CLIMTMEAN_7,CLIMTMEAN_6,CLIMTMEAN_5,CLIMTMAX_9,CLIMTMAX_8,CLIMTMAX_7,CLIMTMAX_6,CLIMTMAX_5
38,Polygon ZM,126857,9/7/2009,Spitfire Lake,6.715435,108.713448,0,0,0,0,0,0,0,0,0,11659.04024,1.598485,557880.6015,4918371.467,494,364,21.129212,370.631222,0.138984,0,0,0,163.803434,1,0,30,38,557880.6015,4918371.467,-22,-96,-152,-159,-121,-41,8,38,-36,-90,-101,-70,4,66,98,24,-28,-42,-18,50,125,63,105,115,89,38,124,168,180,155,106,186,231,245,221,174
39,Polygon ZM,126891,7/27/2009,White Lake,9.774165,99.062815,0,0,0,0,0,0,0,0,0,35617.59547,7.600428,487563.1092,4821025.726,435.300018,60,3.630882,0.255184,1.211291,0,1,0,258.82475,0,0,117,39,487563.1092,4821025.726,-13,-84,-142,-149,-110,-31,18,46,-27,-82,-93,-62,13,75,105,31,-21,-37,-13,57,133,75,115,123,96,46,133,175,185,159,111,192,235,248,223,177
40,Polygon ZM,126893,1/11/2013,Lake Lila,19.961123,580.947905,0,0,0,0,0,0,0,0,0,28948.7977,2.182251,518996.6348,4872229.818,523,47,121.180622,350.368331,0,0,0,0,206.700136,1,0,71,40,518996.6348,4872229.818,-24,-98,-153,-159,-120,-39,9,38,-35,-88,-99,-68,6,69,100,28,-23,-39,-15,52,129,65,104,112,87,37,126,167,177,154,106,188,231,243,222,175
41,Polygon ZM,126894,1/11/2013,Lower St. Regis,17.743525,185.409808,0,0,0,0,0,0,0,0,0,11358.22764,2.083935,558872.9109,4919822.432,494,364,49.188911,585.455981,0.261623,0,1,0,163.863778,1,0,27,41,558872.9109,4919822.432,-20,-94,-151,-158,-120,-40,9,39,-35,-89,-100,-69,5,67,99,25,-27,-42,-17,51,126,64,105,116,90,39,125,168,181,156,107,187,232,246,222,175
42,Polygon ZM,126895,9/7/2009,Lake Ozonia,12.756446,165.287683,0,0,0,0,0,0,0,0,0,27719.3246,4.431457,530272.3446,4938562.616,420.600006,43,6.491986,0,0,0,1,0,156.636085,1,0,8,42,530272.3446,4938562.616,-16,-91,-150,-158,-119,-37,13,42,-35,-91,-102,-70,6,69,100,22,-32,-46,-20,50,126,70,112,124,97,46,128,172,186,160,111,187,233,248,224,176
43,Polygon ZM,127118,7/27/2009,Cleveland Lake,0.960453,4.199303,0,0,0,0,0,0,0,0,0,15510.66998,3.39979,477281.5001,4849417.707,382.800018,124,3.430345,7.270125,0,0,0,0,234.336676,1,0,94,43,477281.5001,4849417.707,-10,-82,-141,-148,-108,-28,20,49,-25,-80,-92,-59,16,77,109,33,-19,-35,-10,60,135,76,116,125,100,49,135,177,188,164,115,195,239,251,228,181
44,Polygon ZM,127173,7/27/2009,Soft Maple Reservoir,27.732564,176.392528,0,0,0,0,0,0,0,0,0,23243.53766,4.301888,483055.6271,4862092.146,392.700012,28,633.437788,5544.883662,0,0,1,1,224.122825,1,2,79,44,483055.6271,4862092.146,-13,-87,-144,-152,-112,-30,17,47,-28,-82,-94,-62,14,75,107,31,-20,-36,-11,59,134,75,115,123,98,47,135,176,186,163,114,195,238,250,228,181
45,Polygon ZM,128068,12/10/2011,Hoel Pond,10.398613,186.974645,0,0,0,0,0,0,0,0,0,13656.21102,3.871494,551820.4554,4910991.759,493,167,7.974043,20.132047,0,0,0,0,170.934844,1,0,35,45,551820.4554,4910991.759,-21,-95,-151,-158,-119,-39,8,39,-35,-89,-99,-67,6,67,100,26,-26,-40,-15,52,127,65,105,115,89,38,127,169,180,156,107,189,233,246,223,176
46,Polygon ZM,128186,12/10/2011,Buck Pond,3.930478,53.759008,0,0,0,0,0,0,0,0,0,16815.82761,3.631943,570747.6486,4928639.809,508.700012,117,3.916409,1.074543,0,0,2,0,151.320891,1,0,14,46,570747.6486,4928639.809,-20,-93,-150,-157,-120,-41,9,39,-35,-90,-100,-69,4,66,98,24,-29,-43,-18,49,124,65,107,118,92,39,125,169,182,157,106,186,231,246,222,174
47,Polygon ZM,129001,12/10/2011,Rollins Pond,13.749111,183.324084,0,0,0,0,0,0,0,0,0,6783.979884,3.368919,546768.5059,4906535.88,479,22,23.983517,140.136779,0,0,2,0,176.117792,1,0,43,47,546768.5059,4906535.88,-21,-95,-150,-157,-118,-39,9,40,-34,-87,-98,-66,7,69,101,27,-24,-39,-14,53,129,65,105,115,90,39,128,169,181,157,108,191,234,248,224,177
